"","IL21","IL22","IL17A","IFN","TNF","IL4"
"m1_ileum_mucosa_van_r4_21d_repeat",-12.7690199768986,-12.2035099320872,-11.787786084662,-9.8357634856414,-11.47019169905,-11.3004708372016
"m5_fecal_psg_r1_7d",-11.8311162306672,-5.37604542176427,-9.76736701464289,-8.49313004519094,-8.74403105831872,-11.3222059367252
"m1_ileum_mucosa_control_r2_7d",-9.53626028076295,-5.48860174260548,-7.94525647594418,-6.3769329291113,-6.39559654420363,-10.9544646294499
"m2_fecal_psg_r6_7d",-5.59731657016578,-4.64240694847364,-6.75502015655204,-9.06839819933557,-5.96441763488641,-5.26397970997992
"m3_ileum_mucosa_control_r5_7d",-11.8381225061848,-8.58422013945479,-10.7052494267412,-7.13783910840708,-12.3414800825403,-12.7248464391453
"m4_ileum_luminal_flu_r2_7d",-8.91348549859207,-5.15597441003127,-7.47377829946318,-6.614906576579,-7.60101446581455,-12.5298849582366
"m3_fecal_psg_r5_21d",-13.0156098324625,-11.2285062097219,-11.6219125486838,-7.21349542135562,-10.9802698586176,-13.6644560950448
"m1_fecal_control_r5_21d",-8.36655581888891,-7.49963551110941,-7.40261077349828,-6.58455645998449,-9.92916850337188,-10.772556015413
"m2_fecal_control_r6_21d",-8.3424376851322,-5.95073343671756,-6.10115888466475,-3.43903632989243,-10.0496121940183,-9.1347413691043
"m3_ileum_mucosa_psg_r5_21d",-13.0156098324625,-11.2285062097219,-11.6219125486838,-7.21349542135562,-10.9802698586176,-13.6644560950448
"m4_ileum_luminal_control_r2_7d",-9.11040454336358,-4.05790463494943,-7.53979042711773,-7.67434665204627,-7.22013859739489,-12.1081313846029
"m3_fecal_van_r6_7d",-5.96642077666855,-5.437997912236,-6.75502015655204,-8.73067729576405,-7.1453084012988,-10.5922090103254
"m4_ileum_mucosa_psg_r6_21d_repeatredone",-12.2690401347183,-12.9746375787088,-11.4721962747562,-9.50237590700954,-12.474250174324,-11.2500997685173
"m3_fecal_control_r4_21d_repeat",-9.44699605232232,-6.88506466906244,-8.44215065610274,-7.62602131296017,-10.7235412615305,-10.1733794788906
"m5_ileum_luminal_flu_r2_7d",-9.91810385211041,-5.15597441003127,-7.97774221064192,-7.13695588728522,-7.73105442600795,-11.5359474488382
"m4_fecal_van_r6_21d",-11.4114976723401,-11.8881077611505,-10.0769770272465,-5.20381296584197,-11.3475974845528,-10.4590176980866
"m1_fecal_van_r1_7d",-11.7012425591324,-7.19568804952272,-9.82590818408522,-7.74424179315769,-4.90342528979743,-11.4505893673879
"m1_fecal_van_r5_21d",-10.7789146907553,-11.0845188700939,-11.5719326455503,-7.40859261881981,-11.1576104453095,-11.9575498881166
"m3_fecal_van_r4_7d_repeat",-12.6734461366236,-11.5934611274594,-11.0036590561483,-9.22230162337546,-12.6346549079151,-11.0206528895495
"m4_fecal_psg_r4_21d_repeat",-12.2690401347183,-12.9746375787088,-11.4721962747562,-9.50237590700954,-12.474250174324,-11.2500997685173
"m3_fecal_psg_r4_21d_repeat",-11.6261064811808,-10.9970406604683,-12.3389048540694,-9.8668104562505,-11.6592769709088,-11.4300467824775
"m3_ileum_luminal_control_r2_7d",-9.64858490296142,-5.20337816463841,-8.17569432378502,-6.70571279757598,-3.71591771558893,-12.841849434719
"m2_fecal_control_r5_21d",-7.87746788485237,-7.64481255066157,-8.06532807487376,-5.65971487282218,-10.3456270185137,-11.9744943667551
"m3_fecal_van_r5_7d",-12.4596960230984,-13.0755418163297,-12.1521698588312,-8.23730642355566,-13.554485651575,-11.663414689447
